distance,herding_time,coefficients_of_horses,grazing_time,num_mares,stallion_speed,herding_start,herding_end,num_significant_timesteps,true_positives,false_positives,false_negatives,precision,recall,f1_score
0.5,100,0.1,500,4,0.2,105,205,11,11,0,90,1.0,0.11,0.19819819819819817
0.5,100,0.1,500,4,0.5,286,386,6,6,0,95,1.0,0.06,0.11320754716981131
0.5,100,0.1,500,4,1.0,468,568,11,11,0,90,1.0,0.11,0.19819819819819817
0.5,100,0.1,500,6,0.2,268,368,10,10,0,91,1.0,0.1,0.18181818181818182
0.5,100,0.1,500,6,0.5,192,292,5,5,0,96,1.0,0.05,0.09523809523809523
0.5,100,0.1,500,6,1.0,406,506,12,12,0,89,1.0,0.12,0.21428571428571425
0.5,100,0.1,500,8,0.2,185,285,19,19,0,82,1.0,0.19,0.319327731092437
0.5,100,0.1,500,8,0.5,107,207,10,10,0,91,1.0,0.1,0.18181818181818182
0.5,100,0.1,500,8,1.0,207,307,5,5,0,96,1.0,0.05,0.09523809523809523
0.5,100,0.1,1500,4,0.2,1266,1366,61,61,0,40,1.0,0.61,0.7577639751552795
0.5,100,0.1,1500,4,0.5,428,528,21,21,0,80,1.0,0.21,0.34710743801652894
0.5,100,0.1,1500,4,1.0,669,769,22,22,0,79,1.0,0.22,0.36065573770491804
0.5,100,0.1,1500,6,0.2,584,684,45,45,0,56,1.0,0.45,0.6206896551724138
0.5,100,0.1,1500,6,0.5,101,201,42,42,0,59,1.0,0.42,0.5915492957746479
0.5,100,0.1,1500,6,1.0,486,586,23,23,0,78,1.0,0.23,0.3739837398373984
0.5,100,0.1,1500,8,0.2,824,924,65,65,0,36,1.0,0.65,0.787878787878788
0.5,100,0.1,1500,8,0.5,1494,1594,47,47,0,54,1.0,0.47,0.6394557823129251
0.5,100,0.1,1500,8,1.0,1335,1435,25,25,0,76,1.0,0.25,0.4
0.5,100,0.1,2500,4,0.2,596,696,43,39,4,62,0.9069767441860465,0.39,0.5454545454545454
0.5,100,0.1,2500,4,0.5,1017,1117,46,46,0,55,1.0,0.46,0.6301369863013699
0.5,100,0.1,2500,4,1.0,194,294,27,27,0,74,1.0,0.27,0.4251968503937008
0.5,100,0.1,2500,6,0.2,1891,1991,84,84,0,17,1.0,0.84,0.9130434782608696
0.5,100,0.1,2500,6,0.5,1338,1438,29,29,0,72,1.0,0.29,0.44961240310077516
0.5,100,0.1,2500,6,1.0,2287,2387,34,34,0,67,1.0,0.34,0.5074626865671642
0.5,100,0.1,2500,8,0.2,671,771,84,84,0,17,1.0,0.84,0.9130434782608696
0.5,100,0.1,2500,8,0.5,1435,1535,42,42,0,59,1.0,0.42,0.5915492957746479
0.5,100,0.1,2500,8,1.0,684,784,33,32,1,69,0.9696969696969697,0.32,0.48120300751879697
0.5,100,0.5,500,4,0.2,18,118,15,15,0,86,1.0,0.15,0.2608695652173913
0.5,100,0.5,500,4,0.5,175,275,7,7,0,94,1.0,0.07,0.13084112149532712
0.5,100,0.5,500,4,1.0,166,266,12,12,0,89,1.0,0.12,0.21428571428571425
0.5,100,0.5,500,6,0.2,275,375,11,11,0,90,1.0,0.11,0.19819819819819817
0.5,100,0.5,500,6,0.5,425,525,10,10,0,91,1.0,0.1,0.18181818181818182
0.5,100,0.5,500,6,1.0,59,159,6,6,0,95,1.0,0.06,0.11320754716981131
0.5,100,0.5,500,8,0.2,153,253,8,8,0,93,1.0,0.08,0.14814814814814814
0.5,100,0.5,500,8,0.5,7,107,14,14,0,87,1.0,0.14,0.24561403508771928
0.5,100,0.5,500,8,1.0,326,426,10,10,0,91,1.0,0.1,0.18181818181818182
0.5,100,0.5,1500,4,0.2,1226,1326,49,49,0,52,1.0,0.49,0.6577181208053691
0.5,100,0.5,1500,4,0.5,545,645,25,25,0,76,1.0,0.25,0.4
0.5,100,0.5,1500,4,1.0,661,761,16,16,0,85,1.0,0.16,0.2758620689655173
0.5,100,0.5,1500,6,0.2,702,802,59,59,0,42,1.0,0.59,0.7421383647798743
0.5,100,0.5,1500,6,0.5,44,144,37,37,0,64,1.0,0.37,0.5401459854014599
0.5,100,0.5,1500,6,1.0,1434,1534,42,42,0,59,1.0,0.42,0.5915492957746479
0.5,100,0.5,1500,8,0.2,220,320,73,73,0,28,1.0,0.73,0.8439306358381503
0.5,100,0.5,1500,8,0.5,405,505,36,36,0,65,1.0,0.36,0.5294117647058824
0.5,100,0.5,1500,8,1.0,1339,1439,29,29,0,72,1.0,0.29,0.44961240310077516
0.5,100,0.5,2500,4,0.2,451,551,75,74,1,27,0.9866666666666667,0.74,0.8457142857142858
0.5,100,0.5,2500,4,0.5,2007,2107,37,37,0,64,1.0,0.37,0.5401459854014599
0.5,100,0.5,2500,4,1.0,841,941,22,22,0,79,1.0,0.22,0.36065573770491804
0.5,100,0.5,2500,6,0.2,1252,1352,77,77,0,24,1.0,0.77,0.8700564971751412
0.5,100,0.5,2500,6,0.5,1238,1338,45,45,0,56,1.0,0.45,0.6206896551724138
0.5,100,0.5,2500,6,1.0,641,741,23,23,0,78,1.0,0.23,0.3739837398373984
0.5,100,0.5,2500,8,0.2,304,404,88,87,1,14,0.9886363636363636,0.87,0.925531914893617
0.5,100,0.5,2500,8,0.5,184,284,56,56,0,45,1.0,0.56,0.717948717948718
0.5,100,0.5,2500,8,1.0,1379,1479,30,30,0,71,1.0,0.3,0.4615384615384615
0.5,100,1.0,500,4,0.2,477,577,6,6,0,95,1.0,0.06,0.11320754716981131
0.5,100,1.0,500,4,0.5,372,472,6,6,0,95,1.0,0.06,0.11320754716981131
0.5,100,1.0,500,4,1.0,261,361,8,8,0,93,1.0,0.08,0.14814814814814814
0.5,100,1.0,500,6,0.2,275,375,7,7,0,94,1.0,0.07,0.13084112149532712
0.5,100,1.0,500,6,0.5,162,262,11,11,0,90,1.0,0.11,0.19819819819819817
0.5,100,1.0,500,6,1.0,195,295,8,8,0,93,1.0,0.08,0.14814814814814814
0.5,100,1.0,500,8,0.2,462,562,25,25,0,76,1.0,0.25,0.4
0.5,100,1.0,500,8,0.5,395,495,7,7,0,94,1.0,0.07,0.13084112149532712
0.5,100,1.0,500,8,1.0,76,176,12,12,0,89,1.0,0.12,0.21428571428571425
0.5,100,1.0,1500,4,0.2,501,601,46,46,0,55,1.0,0.46,0.6301369863013699
0.5,100,1.0,1500,4,0.5,428,528,23,23,0,78,1.0,0.23,0.3739837398373984
0.5,100,1.0,1500,4,1.0,1109,1209,26,26,0,75,1.0,0.26,0.41269841269841273
0.5,100,1.0,1500,6,0.2,1408,1508,68,68,0,33,1.0,0.68,0.8095238095238095
0.5,100,1.0,1500,6,0.5,1092,1192,38,38,0,63,1.0,0.38,0.5507246376811594
0.5,100,1.0,1500,6,1.0,364,464,22,22,0,79,1.0,0.22,0.36065573770491804
